Reference, Value, Footprint, Datasheet, DigiKey P/N, URL, Man P/N, Description, Price, Cost, TLP291, Digikey P/N,
C41,100p,Capacitors_SMD:C_0805_HandSoldering,,399-1122-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C101J5GACTU/399-1122-1-ND/411397,C0805C101J5GACTU,,,,,,
R55,24.9k,Resistors_SMD:R_0805_HandSoldering,,P24.9KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF2492V/P24.9KCCT-ND/119375,ERJ-6ENF2492V,,,,,,
R54,24.9k,Resistors_SMD:R_0805_HandSoldering,,P24.9KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF2492V/P24.9KCCT-ND/119375,ERJ-6ENF2492V,,,,,,
C28,100p,Capacitors_SMD:C_0805_HandSoldering,,399-1122-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C101J5GACTU/399-1122-1-ND/411397,C0805C101J5GACTU,,,,,,
C29,100p,Capacitors_SMD:C_0805_HandSoldering,,399-1122-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C101J5GACTU/399-1122-1-ND/411397,C0805C101J5GACTU,,,,,,
R61,150k,Resistors_SMD:R_0805_HandSoldering,,P150KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1503V/P150KCCT-ND/119602,ERJ-6ENF1503V,,,,,,
R65,150k,Resistors_SMD:R_0805_HandSoldering,,P150KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1503V/P150KCCT-ND/119602,ERJ-6ENF1503V,,,,,,
R67,150k,Resistors_SMD:R_0805_HandSoldering,,P150KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1503V/P150KCCT-ND/119602,ERJ-6ENF1503V,,,,,,
R68,150k,Resistors_SMD:R_0805_HandSoldering,,P150KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1503V/P150KCCT-ND/119602,ERJ-6ENF1503V,,,,,,
U10,MCP2551-I/SN,Power_Integrations:SO-8,,MCP2551-I/SN-ND,http://www.digikey.com/product-detail/en/microchip-technology/MCP2551-I-SN/MCP2551-I-SN-ND/509452,MCP2551-I/SN,,,,,,
R37,1k,Resistors_SMD:R_0805_HandSoldering,,P1.00KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1001V/P1.00KCCT-ND/118957,ERJ-6ENF1001V,,,,,,
R44,120,Resistors_SMD:R_0805_HandSoldering,,311-120CRCT-ND,http://www.digikey.com/product-detail/en/yageo/RC0805FR-07120RL/311-120CRCT-ND/730522,RC0805FR-07120RL,,0.1,,,,
